city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed
newton,42.3370414,-71.2092214,Clear,41.95,69,1032,9.22
amderma,69.7522076,61.662267280204404,Clouds,16.92,64,1016,7.65
mobaye,4.3254367,21.1778122,Rain,70.45,97,1009,1.23
belushya guba,71.5376984,52.3427343,Clouds,22.59,82,1015,3.51
kapaa,22.0747334,-159.3191601,Clouds,78.96,73,1019,16.11
salalah,17.0174945,54.1010923,Clear,73.47,53,1016,5.75
bucerias,20.7555883,-105.3343517,Clouds,78.57,83,1012,5.75
attawapiskat,52.9244075,-82.4270112,Clouds,33.8,93,1014,8.05
maceio,-9.6476843,-35.7339264,Clouds,74.21,94,1016,2.3
aykhal,65.9516363,111.4917562,Snow,12.0,95,1004,11.27
bathsheba,13.2129361,-59.5227245,Clouds,81.0,83,1012,9.22
port lincoln,-34.7211905,135.8592218,Clouds,64.24,71,1010,14.2
pevek,69.7028171,170.2746851,Clouds,-5.17,98,1007,3.29
port alfred,-33.5981844,26.8914772,Clouds,59.05,96,1019,11.01
clyde river,46.2239354,-63.2576799,Snow,34.99,68,1029,4.61
avera,43.3896226,-0.1768284,Mist,47.34,100,1024,5.75
ponta do sol,32.681067,-17.104073,Clouds,65.5,84,1022,2.28
kahului,20.8894101,-156.4727118,Clouds,83.57,60,1018,20.71
yuanping,38.7308094,112.6994958,Clouds,53.37,67,1021,1.92
warri,5.5079213,5.7571201,Clouds,75.81,90,1009,3.24
mpraeso,6.596614,-0.733393,Clouds,69.94,92,1010,3.09
raha,-4.8315594,122.716274,Clouds,88.48,57,1011,2.42
alotau,-10.3060931,150.4464005,Clouds,89.44,45,1008,9.86
kijang,0.8501915,104.6027532,Clouds,81.18,76,1011,5.21
tigzirt,36.8926614,4.126179,Clouds,66.49,69,1019,4.07
leningradskiy,54.129108,79.236702,Clouds,28.53,90,1028,11.88
mahebourg,-20.4111041,57.7060616,Clouds,70.18,83,1017,2.3
meulaboh,4.1481951,96.1339107,Clouds,79.34,83,1012,2.24
sinnamary,5.3770561,-52.9571586,Clouds,78.28,87,1013,7.29
maniitsoq,65.4175454,-52.8967885,Clouds,17.4,53,993,4.7
hambantota,6.1249126,81.1242563,Clouds,75.52,100,1010,2.3
katsuura,35.1521846,140.3207449,Clear,68.97,54,1024,18.28
pacific grove,36.6211149,-121.917794,Clouds,52.79,79,1022,5.75
castro,45.802987,10.06706,Clouds,53.78,10,1019,1.05
ibra,22.6895878,58.5469793,Clear,70.86,65,1017,2.28
kuche,41.7116961,82.9583247,Clouds,41.61,30,1026,4.7
hermanus,-34.4175,19.2361111,Clear,57.83,72,1018,11.65
lorengau,-2.0329567,147.2789185,Rain,83.05,74,1008,2.06
morro bay,35.3658075,-120.849901,Clear,54.1,77,1022,3.0
nizhneyansk,71.440445,136.130646,Clouds,-2.02,90,1011,12.93
puerto ayora,-0.7471674,-90.3134198,Clouds,68.2,90,1014,3.0
half moon bay,52.3472138,-114.1766304,Clouds,-7.74,85,1033,5.53
imeni poliny osipenko,52.422848,136.48938,Clear,26.8,54,1017,3.74
torbay,47.6576953,-52.726986,Snow,34.47,69,1019,20.71
ntoum,0.3913154,9.7588716,Rain,75.15,94,1010,3.11
zhangye,38.9365134,100.4556326,Clear,38.61,35,1024,12.28
sitka,57.0524973,-135.337612,Clouds,39.02,56,1016,14.97
umm durman,15.6445536,32.4777311,Clear,72.93,30,1011,13.58
narsaq,60.9127453,-46.0452698,Clouds,32.25,84,991,3.47
vardo,70.3308174,30.961751972265887,Clouds,36.28,81,1008,12.66
pak phanang,8.3476389,100.1996122,Clouds,82.4,82,1013,10.89
atar,20.5181943,-13.0543928,Clear,77.61,16,1014,5.64
luanda,-8.8272699,13.2439512,Clouds,77.04,78,1010,6.91
lasa,50.4291723,2.8319805,Clear,48.2,85,1019,10.56
suoyarvi,62.0820094,32.345856,Clouds,38.59,99,1005,4.23
kaele,10.1095738,14.446062,Clouds,77.04,26,1009,8.86
kilindoni,-7.9113546,39.6671536,Rain,77.72,84,1012,8.41
bambous virieux,-20.347199500000002,57.76474767388835,Clouds,70.36,83,1017,2.3
ponta delgada,37.7394344,-25.6683618,Clouds,68.72,88,1015,16.11
kiama,-34.6958202,150.79591231385055,Clouds,69.55,62,1020,8.99
illoqqortoormiut,70.4850588,-21.9641992,Clouds,13.24,80,1007,9.78
carutapera,-1.2016638,-46.0205618,Clear,74.5,88,1013,4.94
ancud,-41.8682162,-73.8287225,Rain,51.1,94,1014,2.24
georgetown,6.8137426,-58.1624465,Clouds,75.49,86,1012,4.94
qaqortoq,60.718202,-46.0385214,Clouds,25.34,88,991,3.09
brokopondo,5.0567713,-54.9766916,Clouds,75.25,97,1013,2.55
russell,38.895289,-98.859806,Clouds,69.67,68,1007,20.71
kavieng,-2.573474,150.795224,Clouds,85.01,67,1008,4.63
barrow,71.2905556,-156.788611,Clouds,28.42,80,998,12.66
shimoda,34.679545,138.945379,Clear,66.97,57,1024,12.73
birao,10.2961965,22.7809907,Clouds,69.17,30,1010,5.26
coromandel,-18.473889,-47.200278,Clear,65.75,82,1015,4.0
qaanaaq,77.4686357,-69.2222746,Clouds,-8.81,61,1011,5.53
beloha,-25.173662,45.0610399,Clear,71.22,87,1014,3.83
nouadhibou,20.9127045,-17.0503094,Clouds,66.13,88,1015,10.36
grand gaube,-20.0086191,57.6644156,Clear,68.38,75,1017,3.0
acopiara,-6.0936464,-39.4543204,Clouds,77.25,54,1013,1.99
ahmadpur east,29.1437273,71.2625165,Clear,69.53,46,1017,3.89
sterling,41.788253,-89.6953656,Clear,65.08,73,1018,4.61
tulun,54.562096,100.579216,Clouds,21.18,89,1032,3.4
nuuk,64.175029,-51.7355386,Clouds,16.97,57,993,4.0
margate,51.3878174,1.3819699,Clear,49.82,88,1017,3.0
araouane,18.9041878,-3.5264658,Clouds,72.75,13,1012,6.96
karlskoga,59.3291667,14.5176911,Clouds,48.81,92,1003,7.85
killybegs,54.63165225,-8.450616829547787,Clouds,56.16,82,1000,23.98
cockburn town,21.4607723,-71.1399956,Clear,81.63,76,1012,11.18
ostrovnoy,68.0544447,39.5129384,Clouds,35.22,92,1009,8.1
tarko-sale,64.9219991,77.779459,Clouds,-10.19,97,1022,6.17
vydrino,51.4611218,104.6441563,Snow,28.04,96,1029,11.21
hofn,64.2532647,-15.2080441,Clouds,43.72,91,976,18.75
abu samrah,24.20057405,55.39905220606245,Clear,79.7,37,1016,5.53
camana,-11.9873096,-73.1217654,Clouds,70.27,94,1012,3.78
mys shmidta,68.8928813,-179.4130958,Clouds,2.64,87,1007,5.59
channarayapatna,13.2455918,77.797084,Fog,62.89,100,1018,3.44
natal,-5.805398,-35.2080905,Clouds,79.0,73,1014,9.22
arraial do cabo,-22.9662839,-42.024427,Clear,67.98,88,1015,0.0
reefton,-42.1159384,171.8634561,Clear,73.36,35,1022,5.79
hamilton,43.2560802,-79.8728583,Clear,47.68,62,1025,5.75
tigil,57.7598,158.6836121,Snow,27.21,95,1004,6.02
shieli,44.176025,66.740959,Clear,33.73,76,1032,5.21
wai,17.9519941,73.8912964,Clouds,63.77,63,1017,3.98
comodoro rivadavia,-45.8632024,-67.4752615,Clear,59.45,41,1008,3.44
san pedro,33.7358518,-118.2922934,Clear,56.62,73,1017,5.99
sao filipe,14.8952963,-24.4969361,Clouds,77.52,67,1015,9.26
mutsu,41.2928444,141.1831247,Clouds,59.7,60,1020,15.08
katherine,-14.4646157,132.2635993,Clouds,91.71,52,1011,6.91
avarua,-21.2074736,-159.7708145,Clouds,75.18,78,1017,17.27
bilma,18.69293,12.91872,Clear,67.87,28,1013,8.46
chuy,-33.6937948,-53.4561114,Clouds,58.26,94,1018,6.78
ambilobe,-13.194439,49.049956,Clouds,68.85,74,1014,4.36
hue,16.4639321,107.5863388,Mist,75.27,100,1017,4.61
geraldton,-28.77035,114.6147159,Clouds,71.76,56,1012,6.91
ormara,25.2105634,64.6374914,Clear,78.31,67,1016,5.26
codrington,51.508188,-2.3936619,Clouds,50.5,92,1015,3.0
aljezur,37.3151549,-8.8040533,Clear,59.14,82,1021,6.24
sangar,37.179787,49.6947763,Clouds,51.31,100,1023,0.0
makakilo city,21.3469444,-158.0858333,Clear,81.84,52,1019,18.41
ikalamavony,-21.1671472,46.5980166,Clear,67.33,80,1016,2.66
camacha,32.679439,-16.8448679,Clouds,60.03,85,1021,3.44
plainview,34.1942145,-101.72052658797288,Clear,66.16,68,1013,16.11
cozumel,20.5014305,-86.9435851,Clear,81.05,75,1013,4.0
uyskoye,54.373421,60.005447,Clouds,25.93,89,1024,7.25
xai-xai,-25.044479,33.64073,Rain,74.75,91,1012,14.05
artyk,37.5516012,59.3272718,Clear,41.45,59,1027,6.38
vanimo,-2.6847646,141.3009131,Rain,84.06,81,1009,4.9
sakakah,29.9784008,40.2047701,Clear,60.37,45,1015,5.66
kodiak,57.79,-152.4072222,Clouds,38.71,81,999,21.85
